OBEC,OKRES,KRAJ
"Trnové Pole",Znojmo,"Jihomoravský kraj"
Trnov,"Rychnov nad Kněžnou","Královéhradecký kraj"
Trojanovice,"Nový Jičín","Moravskoslezský kraj"
Trojovice,Chrudim,"Pardubický kraj"
Trokavec,Rokycany,"Plzeňský kraj"
Troskotovice,Brno-venkov,"Jihomoravský kraj"
Troskovice,Semily,"Liberecký kraj"
Trotina,Trutnov,"Královéhradecký kraj"
Troubelice,Olomouc,"Olomoucký kraj"
Troubky,Přerov,"Olomoucký kraj"
Troubky-Zdislavice,Kroměříž,"Zlínský kraj"
Troubsko,Brno-venkov,"Jihomoravský kraj"
Trpík,"Ústí nad Orlicí","Pardubický kraj"
Trpín,Svitavy,"Pardubický kraj"
Trpišovice,"Havlíčkův Brod",Vysočina
Trpísty,Tachov,"Plzeňský kraj"
Tršice,Olomouc,"Olomoucký kraj"
Trstěnice,Cheb,"Karlovarský kraj"
Trstěnice,Svitavy,"Pardubický kraj"
Trstěnice,Znojmo,"Jihomoravský kraj"
Třtěnice,Jičín,"Královéhradecký kraj"
Třtice,Rakovník,"Středočeský kraj"
Trubín,Beroun,"Středočeský kraj"
Trubská,Beroun,"Středočeský kraj"
Truskovice,Strakonice,"Jihočeský kraj"
Trusnov,Pardubice,"Pardubický kraj"
Trutnov,Trutnov,"Královéhradecký kraj"
Tržek,Svitavy,"Pardubický kraj"
Tučapy,Tábor,"Jihočeský kraj"
Tučapy,"Uherské Hradiště","Zlínský kraj"
Tučapy,Vyškov,"Jihomoravský kraj"
Tuchlovice,Kladno,"Středočeský kraj"
